task,scenario,holdout_column,holdout_side,threshold,model,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,infer_bs1_s,infer_per_sample_s,storage_points,n_train,n_test,n_fit,n_val,n_fit_curves,n_val_curves,validation_overlap_groups
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,pdk_lut_knn,deterministic,2.8422731235596654e-19,1.4896953091032526e-19,0.9601382028412312,2.8422731235596654e-19,1.4896953091032526e-19,0.2265745831555762,3.085354709132071,384000,0.0369952998589724,0.0002228500011066,8.372809247703117e-06,48000.0,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,poly3_ridge,deterministic,5.430733487586401e-18,4.615658255092423e-18,-13.552655172820282,5.430733487586401e-18,4.615658255092423e-18,14.400200411283087,35.238383739555616,120,0.0627488000318408,0.000133236660622,3.86617837951538e-07,0.0,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,spline_ridge,deterministic,1.9380991782344552e-19,1.5635025914019106e-19,0.9814656545689812,1.9380991782344552e-19,1.5635025914019106e-19,0.5010368571348356,1.3421662646073311,50,0.0453278999775648,0.0002649799998228,6.04101561899976e-07,0.0,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,rbf_nystroem,42,1.839174444060597e-18,1.4316046016985049e-18,-0.6690567570397743,1.839174444060597e-18,1.4316046016985049e-18,4.132056063571773,13.990968276998403,3073,0.3240041001699865,0.0003049333347007,3.7890299457406703e-06,0.0,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,rbf_nystroem,43,1.6699020382599985e-18,1.2051405807610934e-18,-0.3759645584243063,1.6699020382599985e-18,1.2051405807610934e-18,3.203621773732505,13.120086774705785,3073,0.2742562999483198,0.0003080566724141,3.898997389721141e-06,0.0,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,rbf_nystroem,44,1.5367500282724437e-18,1.1525619376931299e-18,-0.1652838234890252,1.5367500282724437e-18,1.1525619376931299e-18,3.1743048370087723,12.299601061404974,3073,0.2903587000910193,0.0003732633311301,4.975452467685197e-06,0.0,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,mlp_l,42,8.675366791215048e-19,7.645370599651736e-19,0.628635018017891,8.675366791215048e-19,7.645370599651736e-19,2.5811302744915325,6.0237317775513,2625,4.328731599962339,,,,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,mlp_l,43,4.1903888863564187e-19,3.066535012423538e-19,0.9133569131563442,4.1903888863564187e-19,3.066535012423538e-19,0.8950280148683725,3.96397914658772,2625,4.9258520000148565,,,,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,mlp_l,44,4.785070503223581e-19,3.76228377192872e-19,0.887019903811622,4.785070503223581e-19,3.76228377192872e-19,1.1695076678541,4.039524384473251,2625,4.770114000188187,,,,48000,16000,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,-2.4,dkan,42,1.799963070963017e-18,1.6239190000861893e-18,-0.5986465249941073,1.799963070963017e-18,1.6239190000861893e-18,5.1409861988505785,10.794117487718465,1088,3.2702381999697536,,,,48000,16000,,,,,
