task,scenario,holdout_column,holdout_side,model,n_runs,threshold_mean,threshold_std,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,infer_bs1_s_mean,infer_bs1_s_std,infer_per_sample_s_mean,infer_per_sample_s_std,storage_points_mean,storage_points_std,n_train_mean,n_train_std,n_test_mean,n_test_std,n_fit_mean,n_fit_std,n_val_mean,n_val_std,n_fit_curves_mean,n_fit_curves_std,n_val_curves_mean,n_val_curves_std,validation_overlap_groups_mean,validation_overlap_groups_std
Capacitance,frequency_high,log_frequency_ghz,high,bkan,3,0.9200000000004368,0.0,1.1421406457148607e-18,1.7957461873179963e-20,9.125031367449739e-19,1.8667546070751598e-20,0.8596201797645096,0.0044268391007214105,1.1421406457148607e-18,1.7957461873179963e-20,9.125031367449739e-19,1.8667546070751598e-20,2.890872204430821,0.07188920697990903,6.665699446437659,0.08426896998794606,1872.0,0.0,376.36363683338277,2.764809487974985,,,,,,,51200.0,0.0,12800.0,0.0,43520.0,0.0,7680.0,0.0,,,,,,
Capacitance,frequency_high,log_frequency_ghz,high,dkan,3,0.9200000000004368,0.0,1.227869568145748e-18,2.0538344161294384e-19,8.829275784865837e-19,2.3625294608716715e-19,0.8332573424133861,0.0559560900389765,1.227869568145748e-18,2.0538344161294384e-19,8.829275784865837e-19,2.3625294608716715e-19,2.41872603581996,0.968608876667644,8.245183729888474,0.9572068232463444,1088.0,0.0,3.449128933250904,0.10789167751687385,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,frequency_high,log_frequency_ghz,high,mlp_l,3,0.9200000000004368,0.0,1.3887056929936909e-18,7.911995564565204e-21,1.1794055893953293e-18,1.6478068831217205e-20,0.7925121399598086,0.0023595372857136135,1.3887056929936909e-18,7.911995564565204e-21,1.1794055893953293e-18,1.6478068831217205e-20,4.112501169288714,0.0701332843077434,8.457878032781737,0.14057830012223715,2625.0,0.0,4.835185133308793,0.19292814463633876,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,frequency_high,log_frequency_ghz,high,pdk_lut_knn,1,0.9200000000004368,0.0,1.4097031018746434e-18,0.0,1.2150282953612217e-18,0.0,0.7861971582116196,0.0,1.4097031018746434e-18,0.0,1.2150282953612217e-18,0.0,4.141338428368005,0.0,8.202904414784618,0.0,409600.0,0.0,0.0516707999631762,0.0,0.0003152333355198,0.0,8.799280597789524e-06,0.0,51200.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,frequency_high,log_frequency_ghz,high,poly3_ridge,1,0.9200000000004368,0.0,9.77680936688261e-19,0.0,7.702190383693166e-19,0.0,0.8971622758231814,0.0,9.77680936688261e-19,0.0,7.702190383693166e-19,0.0,2.201384422923186,0.0,6.678088197225858,0.0,120.0,0.0,0.065449999878183,0.0,0.0001339833329742,0.0,3.765657538679079e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,frequency_high,log_frequency_ghz,high,rbf_nystroem,3,0.9200000000004368,0.0,1.634625225182932e-18,2.4227442351457194e-19,1.30741378375697e-18,2.293273125250736e-19,0.7062136591653808,0.08089082937449917,1.634625225182932e-18,2.4227442351457194e-19,1.30741378375697e-18,2.293273125250736e-19,3.948425168212817,0.9003547323861745,11.448314088088859,1.5400460285144995,3073.0,0.0,0.3113706666820993,0.03084816150668103,0.0003529355576675334,3.309703214475141e-05,5.060092232472217e-06,6.519592394461171e-07,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,frequency_high,log_frequency_ghz,high,spline_ridge,1,0.9200000000004368,0.0,1.2381131155330705e-18,0.0,9.867812483172094e-19,0.0,0.835077917137358,0.0,1.2381131155330705e-18,0.0,9.867812483172094e-19,0.0,3.180448674106528,0.0,7.107578277742936,0.0,50.0,0.0,0.0464250000659376,0.0,0.0002444699949895,0.0,6.185025995364413e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,length_high,active_layer_length,high,bkan,3,41.61779436626773,0.0,5.24702870956325e-19,8.718180456951919e-20,3.447133089920691e-19,6.593863494549034e-20,0.9737337806727012,0.008645707373379666,5.24702870956325e-19,8.718180456951919e-20,3.447133089920691e-19,6.593863494549034e-20,0.6840916999642718,0.19825368334938867,3.97312726863947,1.0147225316075268,1872.0,0.0,372.4863399999837,0.4995619143093944,,,,,,,51200.0,0.0,12800.0,0.0,43520.0,0.0,7680.0,0.0,,,,,,
Capacitance,length_high,active_layer_length,high,dkan,3,41.61779436626773,0.0,1.3588518962877945e-18,3.1661133916900895e-19,8.632894607763148e-19,3.1034942315947424e-19,0.8192629278474833,0.07812825711425256,1.3588518962877945e-18,3.1661133916900895e-19,8.632894607763148e-19,3.1034942315947424e-19,1.937807588788884,0.8421022384439556,8.047750712997397,2.619100154175224,1088.0,0.0,3.3104711999185383,0.07992631752234224,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,length_high,active_layer_length,high,mlp_l,3,41.61779436626773,0.0,5.676809642842459e-19,5.0771063210834637e-20,3.911511969942331e-19,8.43583817027763e-20,0.9698413323769005,0.005519224081521518,5.676809642842459e-19,5.0771063210834637e-20,3.911511969942331e-19,8.43583817027763e-20,0.9181608007184329,0.35692527151193043,3.4863545478366027,0.131366930685518,2625.0,0.0,4.473832566601534,0.059564243496179586,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
