task,term
I_dark,mechanism:reverse_leakage:dark_voltage_over_length
I_dark,mechanism:reverse_leakage:dark_voltage_over_temperature
I_dark,mechanism:reverse_leakage:dark_voltage_z
I_dark,mechanism:reverse_leakage:dark_voltage_z2
I_dark,mechanism:reverse_leakage:forward_gate_dark_voltage
I_dark,mechanism:reverse_leakage:ge_si_velocity_over_length
I_dark,mechanism:reverse_leakage:ge_si_velocity_z
I_dark,mechanism:reverse_leakage:ge_sio2_velocity_over_length
I_dark,mechanism:reverse_leakage:ge_sio2_velocity_z
I_dark,mechanism:reverse_leakage:inverse_length
I_dark,mechanism:reverse_leakage:inverse_temperature
I_dark,mechanism:reverse_leakage:length_z
I_dark,mechanism:reverse_leakage:one
I_dark,mechanism:reverse_leakage:reverse_gate_dark_voltage
I_dark,mechanism:reverse_leakage:reverse_saturation_dark_voltage
I_dark,mechanism:reverse_leakage:soft_reverse_dark_voltage
I_dark,mechanism:reverse_leakage:tanh_reverse_dark_voltage
I_dark,mechanism:reverse_leakage:temperature_z
I_dark,residual_branch:dark_voltage_over_length
I_dark,residual_branch:dark_voltage_over_temperature
I_dark,residual_branch:dark_voltage_z
I_dark,residual_branch:dark_voltage_z2
I_dark,residual_branch:forward_gate_dark_voltage
I_dark,residual_branch:ge_si_velocity_over_length
I_dark,residual_branch:ge_si_velocity_z
I_dark,residual_branch:ge_sio2_velocity_over_length
I_dark,residual_branch:ge_sio2_velocity_z
I_dark,residual_branch:inverse_length
I_dark,residual_branch:inverse_temperature
I_dark,residual_branch:length_z
I_dark,residual_branch:one
I_dark,residual_branch:reverse_gate_dark_voltage
I_dark,residual_branch:reverse_saturation_dark_voltage
I_dark,residual_branch:soft_reverse_dark_voltage
I_dark,residual_branch:tanh_reverse_dark_voltage
I_dark,residual_branch:temperature_z
I_photo,mechanism:field_collection:collection_saturation_length
I_photo,mechanism:field_collection:inverse_length
I_photo,mechanism:field_collection:inverse_temperature
I_photo,mechanism:field_collection:length_collection_saturation
I_photo,mechanism:field_collection:length_z
I_photo,mechanism:field_collection:light_voltage_over_length
I_photo,mechanism:field_collection:light_voltage_over_temperature
I_photo,mechanism:field_collection:light_voltage_z
I_photo,mechanism:field_collection:light_voltage_z2
I_photo,mechanism:field_collection:one
I_photo,mechanism:field_collection:reverse_drive_over_length
I_photo,mechanism:field_collection:reverse_gate_light_voltage
I_photo,mechanism:field_collection:reverse_saturation_light_voltage
I_photo,mechanism:field_collection:soft_reverse_light_voltage
I_photo,mechanism:field_collection:tanh_reverse_light_voltage
I_photo,mechanism:field_collection:temperature_z
I_photo,mechanism:photogeneration:collection_saturation_length
I_photo,mechanism:photogeneration:inverse_length
I_photo,mechanism:photogeneration:inverse_temperature
I_photo,mechanism:photogeneration:length_collection_saturation
I_photo,mechanism:photogeneration:length_z
I_photo,mechanism:photogeneration:light_voltage_over_length
I_photo,mechanism:photogeneration:light_voltage_over_temperature
I_photo,mechanism:photogeneration:light_voltage_z
I_photo,mechanism:photogeneration:light_voltage_z2
I_photo,mechanism:photogeneration:one
I_photo,mechanism:photogeneration:temperature_z
I_photo,mechanism:surface_recombination:ge_sio2_velocity_over_length
I_photo,mechanism:surface_recombination:light_voltage_z
I_photo,mechanism:surface_recombination:one
I_photo,mechanism:surface_recombination:reverse_drive_surface_recomb
I_photo,mechanism:surface_recombination:reverse_thermal_surface_recomb
I_photo,mechanism:surface_recombination:soft_reverse_light_voltage
I_photo,mechanism:surface_recombination:temperature_z
I_photo,mechanism:trap_recombination:light_voltage_over_temperature
I_photo,mechanism:trap_recombination:light_voltage_z
I_photo,mechanism:trap_recombination:one
I_photo,mechanism:trap_recombination:reverse_drive_over_length
I_photo,mechanism:trap_recombination:reverse_drive_trap_A
I_photo,mechanism:trap_recombination:tanh_reverse_light_voltage
I_photo,residual_branch:collection_saturation_length
I_photo,residual_branch:forward_gate_light_voltage
I_photo,residual_branch:ge_si_velocity_over_length
I_photo,residual_branch:ge_si_velocity_z
I_photo,residual_branch:ge_sio2_velocity_over_length
I_photo,residual_branch:ge_sio2_velocity_z
I_photo,residual_branch:inverse_length
I_photo,residual_branch:inverse_temperature
I_photo,residual_branch:length_collection_saturation
I_photo,residual_branch:length_z
I_photo,residual_branch:light_voltage_over_length
I_photo,residual_branch:light_voltage_over_temperature
I_photo,residual_branch:light_voltage_z
I_photo,residual_branch:light_voltage_z2
I_photo,residual_branch:one
I_photo,residual_branch:reverse_drive_over_length
I_photo,residual_branch:reverse_drive_surface_recomb
I_photo,residual_branch:reverse_drive_trap_A
I_photo,residual_branch:reverse_gate_light_voltage
I_photo,residual_branch:reverse_saturation_light_voltage
I_photo,residual_branch:reverse_thermal_surface_recomb
